音盤紀行,1,"毛塚, 了一郎",KADOKAWA,Y84,2022.5,9784047370906
宙(そら)に参る,1,"肋骨, 凹介",リイド社,Y84,2020.3,9784845860401
境界線上のホライゾンNEXT BOX : GENESISシリーズ.,HDDD英国編〈上〉,"川上, 稔, 1975-",KADOKAWA,KH971,2020.12,9784049127430
幻想ギネコクラシー,1,"沙村, 広明, 1970-",白泉社,Y84,2014.3,9784592710646
紫骸城事件 : inside the apocalypse castle,,"上遠野, 浩平, 1968-",講談社,KH851,2018.9,9784065128909
語り屋カタリの推理講戯,,"円居, 挽",講談社,KH867,2018.2,9784062941099
鏡面堂の殺人 : Theory of Relativity,,"周木, 律",講談社,KH971,2019.1.16,9784065139592
図書館の魔女,第2巻,"高田, 大介, 1968-",講談社,KH934,2016.4,9784062933667
一銭五厘の軌道降下,1,カルロ・ゼン,早川書房,KH851,2017.8,9784150312800
ディアスポラ,,"Egan, Greg, 1961-",早川書房,KS155,2005.9,9784150115319
敵は海賊・海賊版 : Dehumanize,,"神林, 長平, 1953-",早川書房,KH248,2010.8,9784150310080
プロローグ,,"円城, 塔",文藝春秋,KH821,2018.2,9784167910198
誤解するカド : ファーストコンタクトSF傑作選,,"野崎, まど",早川書房,KE211,2017.4,9784150312725
エピローグ,,"円城, 塔",早川書房,KH821,2018.2,9784150313166
九十九十九,,"舞城, 王太郎, 1973-",講談社,KH335,2007.1,9784062756242
世界の半分を怒らせる,,"押井, 守, 1951-",幻冬舎,KH897,2017.12,9784344426740
殺竜事件 : a case of dragonslayer,,"上遠野, 浩平, 1968-",講談社,KH851,2018.4,9784062941150
空の境界,下,"奈須, きのこ, 1973-",講談社,KH431,2008.1,9784062759465
華氏451度,,"Bradbury, Ray, 1920-2012",早川書房,KS152,2014.6,9784150119553
阿修羅ガール,,"舞城, 王太郎, 1973-",新潮社,KH335,2005.5,9784101186313
タイニーストーリーズ,,"山田, 詠美, 1959-",文藝春秋,KH954,2013.4,9784167558086
ゾンビ日記,,"押井, 守, 1951-",角川春樹事務所,KH897,2015.7,9784758439190
激突のヘクセンナハト,1,"川上, 稔, 1975-",KADOKAWA,KH851,2015.8,9784048653114
魍魎 (もうりょう) の匣 (はこ),,"京極, 夏彦",講談社,KH297,1999.9,9784062646673
空の境界未来福音 : the Garden of sinners/recalled out summer,,"奈須, きのこ, 1973-",星海社,KH431,2011.11,9784061389199
教会堂の殺人 : Game Theory,,"周木, 律",講談社,KH924,2018.9,9784065128534
人間のように泣いたのか?,,"森, 博嗣, 1957-",講談社,KH877,2018.1,9784065135945
